Player,Clusters,R.Slope,BB.Slope,H.Slope,R.R^2,BB.R^2,H.R^2
Dixon Machado,1,0.256201406886,0.127637911884,0.644082438603,0.982534372822,0.923055005436,0.991829448204
Miguel Sano,6,0.667871374293,0.451552219442,1.05516634232,0.996428049914,0.952985975096,0.9959716324
Mikie Mahtook,1,0.512686377084,0.22481827622,0.988792883873,0.956338612463,0.866876055143,0.9899729751
Ben Gamel,0,0.517008940261,0.229499120937,1.05742465617,0.965072896375,0.947443103594,0.978918870995
Justin Bour,0,0.513647146246,0.41066716206,1.08448845828,0.988124505264,0.98568935152,0.996379443647
Dansby Swanson,1,0.428965281048,0.43590907145,0.821238066698,0.986231977407,0.982081875701,0.99257465367
Amed Rosario,1,0.381027667984,0.0905138339921,0.973386034256,0.941822235735,0.924730726327,0.992735508156
Matt Davidson,1,0.371292841193,0.161938587421,0.788480270947,0.977632209348,0.969418649576,0.991466979324
Trea Turner,0,0.795523879655,0.325360298759,1.22292499474,0.99358131046,0.934205963509,0.996750208417
John Jaso,3,0.233442819648,0.333048368954,0.514681664792,0.990430666596,0.978654734534,0.95136826022
Jordy Mercer,1,0.366032908203,0.348515981735,0.91272240592,0.98912001986,0.974310864767,0.990867043217
Jorge Polanco,1,0.45823413228,0.286766668446,0.925858111354,0.991352834571,0.983168232564,0.987740798226
Andres Blanco,3,0.11625083777,0.173181249131,0.283463372071,0.905102480252,0.946192815521,0.981334380041
Whit Merrifield,0,0.587983026363,0.192307692308,1.23122065728,0.991591150262,0.984156053631,0.997990392511
Conor Gillaspie,3,0.19274136716,0.14658210007,0.314869626498,0.935035722165,0.918345687189,0.965270234724
Austin Jackson,0,0.51582464311,0.38126961628,1.09822820695,0.956284048318,0.97983515991,0.991602055188
Austin Romine,2,0.212974683544,0.210560243788,0.594995311767,0.944359830083,0.874944870536,0.986819359142
Paul Goldschmidt,6,0.751081176888,0.606876993974,1.13081756953,0.990417236362,0.990521737876,0.997748256966
Jason Heyward,0,0.485918260217,0.300883389576,0.891875515561,0.994781724475,0.980721574226,0.998666462116
Dustin Pedroia,6,0.481446708631,0.489069668196,1.22231942814,0.991279762382,0.990429405462,0.996196619595
Jose Iglesias,0,0.456725178891,0.177538014311,0.964126788909,0.986541314866,0.989253166801,0.99605997346
Derek Dietrich,1,0.417037618923,0.240167583137,0.770598137134,0.985899841467,0.917538296158,0.994108070352
Carlos Gonzalez,0,0.5073846454,0.403594771242,0.885338015803,0.983073737477,0.981076432931,0.99339379083
Carlos Correa,6,0.790013519074,0.519602656792,1.27179215894,0.995743133871,0.992869045523,0.99594035823
Jose Pirela,0,0.521076174617,0.314428445489,1.11276542484,0.986658503916,0.912908241327,0.996416855052
Jarrod Dyson,0,0.558029133029,0.260512460512,0.799903474903,0.989537179068,0.977801650133,0.992828819743
Javier Baez,0,0.524061570613,0.209902740937,0.917207218069,0.982729433586,0.972859318837,0.996772637254
Alcides Escobar,0,0.496220444232,0.0898525197038,0.992255791736,0.986341535761,0.967443760853,0.993014859234
Jesus Aguilar,1,0.338212811696,0.193905130627,0.59582683287,0.982600187875,0.972959956131,0.986552763797
Maikel Franco,1,0.434164394235,0.273178807947,0.888124577123,0.989046150886,0.987236350485,0.998663577348
Jose Lobaton,3,0.226334841629,0.284524886878,0.471312217195,0.927436243402,0.977332015029,0.984230642225
Ben Zobrist,1,0.442737626547,0.40695303712,0.807813085864,0.989364741295,0.992475180369,0.997443496365
Sandy Leon,1,0.404103967168,0.320324408833,0.710279460621,0.984756198616,0.983800178427,0.991289211473
Pablo Sandoval,1,0.326180148965,0.21101683127,0.689222170235,0.981062428194,0.97956586044,0.981878329256
David Peralta,0,0.6071745643,0.276510463362,1.11176226192,0.988091192032,0.984352334858,0.997538254127
Guillermo Heredia,1,0.361174538449,0.211697139326,0.794710215088,0.972422068536,0.985425259861,0.986484581847
Eric Hosmer,6,0.681953069023,0.433260687843,1.27631060425,0.994250111772,0.988869419976,0.998575360265
Jeff Mathis,2,0.213253681578,0.247096415671,0.685968324535,0.904416204958,0.855307852571,0.951764280304
Victor Martinez,1,0.409599834128,0.354333402447,0.981660792038,0.98743620472,0.979077630677,0.997043710018
Travis Shaw,6,0.61000032831,0.442874027381,1.0443588102,0.988431306209,0.980261552574,0.99121257374
Robinson Cano,0,0.542992925812,0.337471431163,1.11761654272,0.99100399517,0.987861190088,0.998252925775
Dexter Fowler,6,0.577411294353,0.573613193403,0.975550686195,0.99476639972,0.989442217887,0.995272121765
Darwin Barney,3,0.248901300128,0.13922873558,0.571610053104,0.959770474324,0.910743881222,0.988182258619
Daniel Nava,1,0.219182083739,0.317405063291,0.717551119766,0.975679456531,0.9774377429,0.988932083112
Brock Stassi,5,0.0909483793517,0.196926770708,0.306842737095,0.779581057622,0.933637788063,0.894491373192
Kike Hernandez,3,0.324786630323,0.318816747844,0.46741588096,0.941764801589,0.97807780271,0.989611821633
Ryder Jones,5,0.234483053018,0.224921027918,0.563903355246,0.884555869567,0.962329594883,0.954945597945
Drew Robinson,2,0.157511940947,0.252876682588,0.454135909683,0.907243769686,0.797328458964,0.974389885263
Max Kepler,1,0.471420598181,0.322659148363,0.887951836895,0.98993645525,0.98259654461,0.993773680336
Eddie Rosario,0,0.566068657033,0.252045154387,1.1004251299,0.990554013662,0.982234403829,0.996070356605
Rob Refsnyder,3,0.119482626142,0.163152053274,0.309357124562,0.913844312648,0.922226725709,0.972483493624
